JustinAnderson,KevinHuerter,OmariSpellman,IsaacHumphries,JaylenAdams,TraeYoung,TaureanPrince,DewayneDedmon,VinceCarter,MilesPlumlee,JohnCollins,AlexPoythress,KentBazemore,AlexLen,DeAndre'Bembry
0.336,0.159,0.0,0.0,0.177,0.201,0.183,0.183,0.196,0.0,0.306,0.0,0.163,0.26,0.108
0.0,0.205,0.0,0.0,0.032,0.268,0.181,0.129,0.233,0.0,0.293,0.0,0.176,0.236,0.113
0.0,0.165,0.0,0.0,0.153,0.283,0.245,0.202,0.126,0.0,0.209,0.0,0.173,0.178,0.224
0.0,0.153,0.0,0.0,0.1,0.307,0.205,0.228,0.127,0.0,0.242,0.0,0.201,0.102,0.237
0.188,0.207,0.0,0.0,0.126,0.385,0.119,0.154,0.135,0.0,0.174,0.0,0.293,0.287,0.048
0.212,0.098,0.0,0.0,0.093,0.329,0.228,0.161,0.222,0.0,0.15,0.0,0.19,0.237,0.155
0.101,0.171,0.0,0.0,0.033,0.344,0.132,0.176,0.208,0.0,0.3,0.0,0.217,0.149,0.298
0.13,0.215,0.0,0.0,0.166,0.405,0.0,0.085,0.204,0.0,0.231,0.0,0.182,0.0,0.148
0.235,0.13,0.0,0.0,0.21,0.218,0.0,0.0,0.251,0.0,0.166,0.0,0.188,0.258,0.259
0.163,0.199,0.0,0.192,0.172,0.232,0.0,0.0,0.112,0.0,0.0,0.0,0.326,0.228,0.189
0.191,0.179,0.0,0.177,0.136,0.293,0.159,0.0,0.0,0.0,0.264,0.0,0.131,0.236,0.263
0.123,0.0,0.0,0.077,0.192,0.316,0.207,0.0,0.168,0.0,0.271,0.0,0.0,0.182,0.233
0.148,0.181,0.0,0.14,0.096,0.0,0.254,0.0,0.157,0.0,0.0,0.0,0.223,0.318,0.255
0.179,0.128,0.0,0.205,0.111,0.292,0.206,0.0,0.136,0.0,0.194,0.0,0.243,0.236,0.162
