DelonWright,JalenJohnson,SharifeCooper,KevinHuerter,SkylarMays,KevinKnoxII,LouWilliams,TimotheLuwawu-Cabarrot,DaniloGallinari,GorguiDieng,TraeYoung,De'AndreHunter,BogdanBogdanovic,ClintCapela,OnyekaOkongwu,JohnCollins,ChaundeeBrown
0.124,0.5,0.0,0.146,0.167,0.157,0.0,0.0,0.136,0.333,0.346,0.173,0.239,0.125,0.17,0.0,0.0
0.152,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.141,0.182,0.34,0.138,0.239,0.114,0.155,0.0,0.0
0.135,0.0,0.0,0.198,0.0,0.0,0.253,0.0,0.173,0.139,0.323,0.204,0.251,0.083,0.0,0.0,0.0
0.093,0.0,0.0,0.126,0.0,0.0,0.175,0.0,0.158,0.0,0.356,0.191,0.242,0.191,0.0,0.191,0.0
0.103,0.0,0.0,0.0,0.0,0.0,0.231,0.0,0.242,0.0,0.303,0.188,0.252,0.094,0.101,0.219,0.0
0.056,0.0,0.0,0.193,0.0,0.0,0.085,0.0,0.154,0.0,0.259,0.228,0.226,0.175,0.19,0.285,0.0
0.1,0.0,0.0,0.153,0.0,0.0,0.232,0.0,0.179,0.0,0.308,0.177,0.204,0.19,0.147,0.177,0.0
0.029,0.0,0.0,0.194,0.0,0.0,0.14,0.0,0.182,0.0,0.375,0.147,0.223,0.113,0.205,0.0,0.0
0.048,0.0,0.0,0.164,0.0,0.169,0.172,0.208,0.0,0.0,0.365,0.222,0.241,0.161,0.155,0.0,0.0
0.033,0.0,0.0,0.206,0.0,0.0,0.276,0.216,0.157,0.0,0.208,0.181,0.23,0.216,0.209,0.0,0.0
0.166,0.0,0.0,0.187,0.0,0.333,0.258,0.101,0.187,0.333,0.0,0.255,0.273,0.181,0.151,0.0,0.0
0.083,0.0,0.0,0.156,0.0,0.0,0.244,0.0,0.233,0.0,0.311,0.162,0.278,0.164,0.077,0.0,0.0
0.108,0.0,0.0,0.201,0.0,0.0,0.0,0.0,0.174,0.0,0.409,0.17,0.318,0.016,0.092,0.0,0.0
0.125,0.184,0.0,0.204,0.0,0.137,0.0,0.136,0.0,0.137,0.282,0.222,0.272,0.176,0.172,0.0,0.0
0.046,0.0,0.0,0.211,0.0,0.0,0.235,0.139,0.257,0.0,0.278,0.198,0.0,0.184,0.052,0.0,0.0
0.138,0.295,0.0,0.168,0.0,0.0,0.192,0.137,0.0,0.0,0.195,0.0,0.29,0.253,0.134,0.0,0.0
0.031,0.0,0.0,0.184,0.0,0.238,0.177,0.145,0.0,0.0,0.464,0.237,0.3,0.086,0.074,0.0,0.0
0.063,0.0,0.0,0.209,0.184,0.239,0.0,0.118,0.163,0.254,0.359,0.21,0.257,0.194,0.162,0.0,0.0
0.157,0.0,0.0,0.149,0.0,0.0,0.309,0.177,0.192,0.0,0.398,0.173,0.199,0.109,0.125,0.0,0.0
0.115,0.202,0.0,0.195,0.0,0.0,0.241,0.109,0.0,0.0,0.327,0.231,0.256,0.106,0.065,0.0,0.0
0.054,0.0,0.0,0.139,0.0,0.333,0.0,0.0,0.23,0.667,0.315,0.247,0.208,0.211,0.129,0.0,0.0
0.061,0.0,0.0,0.178,0.0,0.0,0.0,0.063,0.162,0.0,0.407,0.164,0.243,0.194,0.124,0.0,0.0
0.04,0.0,0.0,0.127,0.0,0.615,0.0,0.115,0.229,0.0,0.348,0.228,0.24,0.214,0.121,0.0,0.0
