DonovanWilliams,BrunoFernando,JalenJohnson,TrentForrest,AaronHoliday,DejounteMurray,TraeYoung,De'AndreHunter,BogdanBogdanovic,AJGriffin,ClintCapela,OnyekaOkongwu,JohnCollins,TyreseMartin,GarrisonMathews,VitKrejci,SaddiqBey
0.0,0.25,0.103,0.0,0.667,0.287,0.333,0.137,0.162,0.198,0.156,0.167,0.0,0.0,0.0,0.0,0.16
0.0,0.0,0.089,0.0,0.0,0.293,0.386,0.108,0.209,0.125,0.199,0.119,0.174,0.0,0.0,0.0,0.089
0.0,0.0,0.0,0.0,0.0,0.24,0.404,0.148,0.25,0.103,0.111,0.171,0.154,0.0,0.0,0.0,0.139
0.0,0.0,0.106,0.0,0.2,0.332,0.305,0.223,0.171,0.4,0.151,0.162,0.095,0.0,0.0,0.0,0.154
0.0,0.0,0.085,0.0,0.0,0.224,0.26,0.186,0.231,0.0,0.182,0.188,0.158,0.0,0.0,0.0,0.21
0.0,0.0,0.171,0.0,0.0,0.232,0.271,0.205,0.163,0.0,0.115,0.214,0.255,0.0,0.0,0.0,0.147
0.0,0.0,0.191,0.0,0.0,0.227,0.288,0.222,0.147,0.0,0.179,0.222,0.166,0.0,0.0,0.0,0.112
0.0,0.0,0.186,0.0,0.0,0.213,0.294,0.223,0.245,0.0,0.173,0.142,0.121,0.0,0.0,0.0,0.145
0.0,0.0,0.152,0.0,0.0,0.232,0.388,0.134,0.0,0.252,0.142,0.111,0.195,0.0,0.0,0.0,0.139
0.0,0.0,0.163,0.0,0.0,0.237,0.39,0.186,0.183,0.476,0.122,0.189,0.112,0.0,0.476,0.0,0.12
0.0,0.0,0.0,0.0,0.0,0.183,0.303,0.212,0.185,0.252,0.085,0.17,0.228,0.0,0.0,0.0,0.127
0.0,0.0,0.0,0.0,0.0,0.259,0.27,0.18,0.203,0.221,0.132,0.238,0.159,0.0,0.0,0.0,0.086
0.0,0.167,0.0,0.2,0.096,0.0,0.357,0.169,0.215,0.217,0.121,0.121,0.19,0.0,0.112,0.333,0.28
0.0,0.0,0.0,0.0,0.126,0.0,0.395,0.187,0.18,0.092,0.093,0.281,0.134,0.0,0.107,0.0,0.29
0.0,0.0,0.0,0.0,0.218,0.271,0.295,0.0,0.116,0.159,0.147,0.2,0.171,0.0,0.194,0.0,0.25
0.0,0.0,0.0,0.0,0.0,0.165,0.264,0.251,0.166,0.169,0.179,0.133,0.17,0.0,0.0,0.0,0.279
0.0,0.0,0.0,0.0,0.0,0.258,0.284,0.121,0.145,0.0,0.18,0.255,0.157,0.0,0.0,0.0,0.185
0.0,0.184,0.254,0.092,0.368,0.201,0.212,0.0,0.17,0.255,0.122,0.174,0.209,0.0,0.184,0.184,0.232
0.0,0.0,0.105,0.0,0.0,0.265,0.298,0.0,0.221,0.119,0.148,0.205,0.175,0.0,0.0,0.0,0.141
0.25,0.4,0.257,0.202,0.0,0.193,0.0,0.0,0.218,0.18,0.179,0.178,0.193,0.0,0.0,0.2,0.174
0.0,0.222,0.264,0.333,0.097,0.237,0.224,0.0,0.0,0.179,0.198,0.182,0.188,0.143,0.143,0.222,0.172
0.0,0.0,0.223,0.0,0.111,0.195,0.288,0.178,0.162,0.0,0.122,0.193,0.209,0.0,0.0,0.0,0.163
0.571,0.264,0.277,0.108,0.181,0.0,0.0,0.282,0.0,0.199,0.0,0.147,0.0,0.175,0.251,0.041,0.205
